S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
rio;rio;0,00;0,00;0,00;0,00;0,00;1,00
riqueza;riquez;0,00;0,00;0,67;0,00;0,00;0,33
risa;ris;0,00;0,00;1,00;0,00;0,00;0,00
roca;roc;0,00;0,00;0,00;0,00;0,00;1,00
rojo;roj;0,00;0,00;0,17;0,33;0,00;0,50
romantico;romant;0,00;0,00;1,00;0,00;0,00;0,00
ronya;rony;0,17;0,00;0,00;0,50;0,00;0,33
ropa;rop;0,00;0,00;0,00;0,00;0,00;1,00
roto;rot;0,67;0,00;0,00;0,33;0,00;0,00
rubio;rubi;0,00;0,00;0,00;0,00;0,00;1,00
ruidoso;ruidos;0,00;0,00;0,00;0,50;0,33;0,17
sabio;sabi;0,00;0,00;0,50;0,00;0,00;0,50
sabor;sabor;0,00;0,00;0,00;0,00;0,00;1,00
salud  ;salud  ;0,00;0,00;0,67;0,00;0,00;0,33
saludar;salud;0,00;0,00;0,33;0,00;0,00;0,67
saludo;salud;0,00;0,00;0,33;0,00;0,00;0,67
salvador;salvador;0,00;0,00;0,83;0,00;0,00;0,17
sangriento;sangrient;0,00;1,00;0,00;0,00;0,00;0,00
santo;sant;0,00;0,00;0,17;0,00;0,00;0,83
sarampion;sarampion;0,50;0,50;0,00;0,00;0,00;0,00
satisfecho;satisfech;0,00;0,00;1,00;0,00;0,00;0,00
secador;secador;0,00;0,00;0,00;0,00;0,00;1,00
seda;sed;0,00;0,00;0,00;0,00;0,00;1,00
seguro;segur;0,00;0,00;0,50;0,00;0,00;0,50
seno;sen;0,00;0,00;0,00;0,00;0,00;1,00
sentimiento;sentimient;0,00;0,00;0,00;0,00;0,17;0,83
serio;seri;0,00;0,17;0,00;0,33;0,00;0,50
serpiente;serpient;0,00;0,50;0,00;0,00;0,00;0,50
sexo;sex;0,00;0,00;0,33;0,00;0,00;0,67
sexy;sexy;0,00;0,00;0,50;0,00;0,00;0,50
sifilis;sifilis;0,33;0,67;0,00;0,00;0,00;0,00
silbato;silbat;0,00;0,00;0,17;0,00;0,00;0,83
silla;sill;0,00;0,00;0,00;0,00;0,00;1,00
simpatico;simpat;0,00;0,00;1,00;0,00;0,00;0,00
snob;snob;0,00;0,00;0,00;0,67;0,17;0,17
sobrecogido;sobrecog;0,17;0,50;0,00;0,00;0,33;0,00
sobresaltado;sobresalt;0,00;0,00;0,00;0,00;1,00;0,00
sociable;sociabl;0,00;0,00;0,50;0,00;0,00;0,50
soga;sog;0,00;0,50;0,00;0,00;0,00;0,50
sol;sol;0,00;0,00;0,50;0,00;0,00;0,50
soleado;sol;0,00;0,00;0,67;0,00;0,00;0,33
soledad;soled;1,00;0,00;0,00;0,00;0,00;0,00
solemne;solemn;0,00;0,00;0,00;0,00;0,00;1,00
solitario;solitari;0,67;0,00;0,00;0,00;0,00;0,33
solo;sol;0,67;0,00;0,00;0,00;0,00;0,33
sombra;sombr;0,00;0,17;0,00;0,00;0,00;0,83
sombrero;sombrer;0,00;0,00;0,00;0,00;0,00;1,00
sonajero;sonajer;0,00;0,00;0,50;0,00;0,00;0,50
sorprendido;sorprend;0,00;0,00;0,00;0,00;1,00;0,00
soso;sos;0,17;0,00;0,00;0,00;0,00;0,83
sospechoso;sospech;0,00;0,50;0,00;0,17;0,17;0,17
spray;spray;0,00;0,00;0,00;0,00;0,00;1,00
suave;suav;0,00;0,00;0,33;0,00;0,00;0,67
suburbio;suburbi;0,17;0,17;0,00;0,00;0,00;0,67
suciedad;sucied;0,00;0,00;0,00;0,67;0,00;0,33
sucio;suci;0,00;0,00;0,00;0,67;0,00;0,33
suenyo;sueny;0,00;0,00;0,00;0,00;0,00;1,00
suicidio;suicidi;0,67;0,33;0,00;0,00;0,00;0,00
sustento;sustent;0,00;0,00;0,00;0,00;0,00;1,00
tabaco;tabac;0,00;0,00;0,00;0,17;0,00;0,83
tablero;tabler;0,00;0,00;0,00;0,00;0,00;1,00
taburete;taburet;0,00;0,00;0,00;0,00;0,00;1,00
talento;talent;0,00;0,00;0,83;0,00;0,00;0,17
tanque;tanqu;0,00;0,50;0,00;0,00;0,00;0,50
tarta;tart;0,00;0,00;0,50;0,00;0,00;0,50
taxi;taxi;0,00;0,00;0,00;0,00;0,00;1,00
tela;tel;0,00;0,00;0,00;0,00;0,00;1,00
temeroso;temer;0,00;1,00;0,00;0,00;0,00;0,00
temor;temor;0,00;1,00;0,00;0,00;0,00;0,00
temperamental;temperamental;0,00;0,00;0,00;1,00;0,00;0,00
tenedor;tenedor;0,00;0,00;0,00;0,00;0,00;1,00
tenis;tenis;0,00;0,00;0,00;0,00;0,00;1,00
tenso;tens;0,00;0,67;0,00;0,00;0,00;0,33
tenue;tenu;0,00;0,00;0,00;0,00;0,00;1,00
teoria;teor;0,00;0,00;0,00;0,00;0,00;1,00
termita;termit;0,00;0,00;0,00;0,00;0,00;1,00
termometro;termometr;0,00;0,00;0,00;0,00;0,00;1,00
terrible;terribl;0,00;0,83;0,00;0,17;0,00;0,00
terrorista;terror;0,00;1,00;0,00;0,00;0,00;0,00
tesoro;tesor;0,00;0,00;0,67;0,00;0,00;0,33
tiburon;tiburon;0,00;0,83;0,00;0,00;0,00;0,17
tiempo;tiemp;0,00;0,00;0,00;0,00;0,00;1,00
tierno;tiern;0,00;0,00;0,83;0,00;0,00;0,17
tierra;tierr;0,00;0,00;0,00;0,00;0,00;1,00
tieso;ties;0,17;0,00;0,00;0,17;0,00;0,67
tijeras;tijer;0,00;0,00;0,00;0,00;0,00;1,00
timido;tim;0,00;0,17;0,00;0,00;0,00;0,83
tinta;tint;0,00;0,00;0,00;0,00;0,00;1,00
tobillo;tobill;0,00;0,00;0,00;0,00;0,00;1,00
tobogan;tobogan;0,00;0,00;0,33;0,00;0,00;0,67
tolerante;toler;0,00;0,00;0,50;0,00;0,00;0,50
tonada;ton;0,00;0,00;0,33;0,00;0,00;0,67
tonteria;tont;0,00;0,00;0,00;0,50;0,00;0,50
tonto;tont;0,00;0,00;0,00;0,67;0,00;0,33
tormenta;torment;0,00;1,00;0,00;0,00;0,00;0,00
tornado;torn;0,00;1,00;0,00;0,00;0,00;0,00
torpe;torp;0,33;0,00;0,00;0,17;0,00;0,50
torre;torr;0,00;0,00;0,00;0,00;0,00;1,00
tortura;tortur;0,00;0,67;0,00;0,33;0,00;0,00
toxico;toxic;0,00;1,00;0,00;0,00;0,00;0,00
tragedia;tragedi;1,00;0,00;0,00;0,00;0,00;0,00
traicionar;traicion;0,00;0,00;0,00;0,83;0,17;0,00
traidor;traidor;0,00;0,00;0,00;1,00;0,00;0,00
trampolin;trampolin;0,00;0,00;0,00;0,00;0,00;1,00
tranquilo;tranquil;0,00;0,00;0,00;0,00;0,00;1,00
trauma;traum;0,17;0,83;0,00;0,00;0,00;0,00
travesia;traves;0,00;0,00;0,17;0,00;0,00;0,83
travesura;travesur;0,00;0,00;0,33;0,00;0,17;0,50
triste;trist;1,00;0,00;0,00;0,00;0,00;0,00
triunfante;triunfant;0,00;0,00;1,00;0,00;0,00;0,00
triunfo;triunf;0,00;0,00;1,00;0,00;0,00;0,00
trofeo;trofe;0,00;0,00;1,00;0,00;0,00;0,00
trompeta;trompet;0,00;0,00;0,33;0,00;0,00;0,67
tumba;tumb;0,50;0,33;0,00;0,00;0,00;0,17
tumor;tumor;0,50;0,50;0,00;0,00;0,00;0,00
turbio;turbi;0,00;0,50;0,00;0,33;0,00;0,17
ulcera;ulcer;0,67;0,33;0,00;0,00;0,00;0,00
unidad;unid;0,00;0,00;0,00;0,00;0,00;1,00
utensilio;utensili;0,00;0,00;0,00;0,00;0,00;1,00
util;util;0,00;0,00;0,33;0,00;0,00;0,67
vaca;vac;0,00;0,00;0,00;0,00;0,00;1,00
vacacion;vacacion;0,00;0,00;1,00;0,00;0,00;0,00
vacilar;vacil;0,00;0,17;0,00;0,33;0,17;0,33
vagina;vagin;0,00;0,00;0,00;0,00;0,00;1,00
valiente;valient;0,00;0,00;0,50;0,00;0,00;0,50
vampiro;vampir;0,00;0,67;0,00;0,00;0,00;0,33
vandalo;vandal;0,00;0,17;0,00;0,67;0,00;0,17
vanidad;vanid;0,00;0,00;0,00;0,83;0,00;0,17
vehiculo;vehicul;0,00;0,00;0,00;0,00;0,00;1,00
velero;veler;0,00;0,00;0,00;0,00;0,00;1,00
veloz;veloz;0,00;0,00;0,00;0,00;0,00;1,00
vencedor;vencedor;0,00;0,00;1,00;0,00;0,00;0,00
vencido;venc;0,83;0,00;0,00;0,17;0,00;0,00
venda;vend;0,17;0,00;0,00;0,00;0,00;0,83
veneno;venen;0,00;1,00;0,00;0,00;0,00;0,00
ventaja;ventaj;0,00;0,00;0,67;0,00;0,00;0,33
ventana;ventan;0,00;0,00;0,00;0,00;0,00;1,00
verdad;verd;0,00;0,00;0,50;0,00;0,00;0,50
verde;verd;0,00;0,00;0,33;0,00;0,00;0,67
vergonzoso;vergonz;0,50;0,17;0,00;0,33;0,00;0,00
vertedero;verteder;0,17;0,00;0,00;0,17;0,00;0,67
vestido;vest;0,00;0,00;0,00;0,00;0,00;1,00
viajes;viaj;0,00;0,00;0,33;0,00;0,00;0,67
victima;victim;1,00;0,00;0,00;0,00;0,00;0,00
victimismo;victim;0,33;0,17;0,00;0,50;0,00;0,00
victoria;victori;0,00;0,00;1,00;0,00;0,00;0,00
vida;vid;0,00;0,00;1,00;0,00;0,00;0,00
vidrio;vidri;0,00;0,00;0,00;0,00;0,00;1,00
vigilante;vigil;0,00;0,17;0,00;0,00;0,00;0,83
vigoroso;vigor;0,00;0,00;0,33;0,00;0,00;0,67
vino;vin;0,00;0,00;0,17;0,00;0,00;0,83
violacion;violacion;0,00;0,67;0,00;0,33;0,00;0,00
violento;violent;0,00;0,17;0,00;0,83;0,00;0,00
violin;violin;0,00;0,00;0,17;0,00;0,00;0,83
virgen;virg;0,00;0,00;0,00;0,00;0,00;1,00
virtud;virtud;0,00;0,00;0,83;0,00;0,00;0,17
viruela;viruel;0,33;0,50;0,00;0,00;0,00;0,17
vision;vision;0,00;0,00;0,00;0,00;0,00;1,00
vivido;viv;0,00;0,00;0,50;0,00;0,00;0,50
vivo;viv;0,00;0,00;0,83;0,00;0,00;0,17
volcan;volcan;0,00;0,33;0,00;0,00;0,00;0,67
vomito;vomit;0,33;0,00;0,00;0,00;0,00;0,67
yate;yat;0,00;0,00;0,17;0,00;0,00;0,83
zafiro;zafir;0,00;0,00;0,33;0,00;0,00;0,67
zurra;zurr;0,00;0,33;0,00;0,50;0,00;0,17
