S-Word;Lexema;Tristeza;Miedo;Alegria;Enfado;Sorpresa;Neutral
dentista;dentist;0,00;0,50;0,00;0,00;0,00;0,50
deportes;deport;0,00;0,00;0,33;0,00;0,00;0,67
depresion;depresion;1,00;0,00;0,00;0,00;0,00;0,00
deprimido;deprim;1,00;0,00;0,00;0,00;0,00;0,00
desagrado;desagr;0,67;0,00;0,00;0,33;0,00;0,00
desanimado;desanim;1,00;0,00;0,00;0,00;0,00;0,00
desastre;desastr;0,17;0,33;0,00;0,50;0,00;0,00
descanso;descans;0,00;0,00;1,00;0,00;0,00;0,00
descomposicion;descomposicion;0,33;0,17;0,00;0,00;0,00;0,50
desden;desden;0,17;0,00;0,00;0,67;0,00;0,17
desdenyoso;desdeny;0,17;0,00;0,00;0,67;0,00;0,17
desenfadado;desenfad;0,00;0,00;0,83;0,00;0,00;0,17
deseo;dese;0,00;0,00;0,50;0,00;0,17;0,33
desertor;desertor;0,33;0,17;0,00;0,33;0,00;0,17
desesperado;desesper;1,00;0,00;0,00;0,00;0,00;0,00
desleal;desleal;0,50;0,00;0,00;0,50;0,00;0,00
deslumbramiento;deslumbr;0,00;0,00;0,00;0,17;0,33;0,50
desnudo;desnud;0,00;0,00;0,00;0,00;0,00;1,00
desordenado;desorden;0,00;0,00;0,00;0,67;0,00;0,33
despedazar;despedaz;0,00;0,67;0,00;0,17;0,00;0,17
desperdicio;desperdici;0,67;0,00;0,00;0,17;0,00;0,17
despreciar;despreci;0,67;0,00;0,00;0,33;0,00;0,00
despreocupado;despreocup;0,00;0,00;0,17;0,17;0,00;0,67
destruccion;destruccion;0,17;0,67;0,00;0,17;0,00;0,00
destruir;destru;0,17;0,50;0,00;0,33;0,00;0,00
desventaja;desventaj;0,67;0,00;0,00;0,17;0,00;0,17
desvestido;desvest;0,00;0,00;0,00;0,00;0,00;1,00
detalle;detall;0,00;0,00;0,50;0,00;0,17;0,33
detestar;detest;0,17;0,00;0,00;0,83;0,00;0,00
deuda;deud;0,83;0,00;0,00;0,00;0,17;0,00
devoto;devot;0,00;0,00;0,00;0,00;0,00;1,00
diablo;diabl;0,00;0,83;0,00;0,17;0,00;0,00
diamante;diamant;0,00;0,00;0,83;0,00;0,00;0,17
dicha;dich;0,00;0,00;1,00;0,00;0,00;0,00
dificultar;dificult;0,17;0,00;0,00;0,83;0,00;0,00
digno;dign;0,00;0,00;0,83;0,00;0,00;0,17
dinero;diner;0,00;0,00;0,67;0,00;0,00;0,33
dios;dios;0,00;0,17;0,50;0,00;0,00;0,33
diploma;diplom;0,00;0,00;0,83;0,00;0,00;0,17
disgustado;disgust;0,83;0,00;0,00;0,17;0,00;0,00
distante;distant;0,67;0,00;0,00;0,00;0,00;0,33
