Word;lexema;Tristeza;Miedo;Alegria;Ira;Asco
ábaco;;1,2;1,2;1,45;1,29;1
abad;;1,35;1,56;1,71;1,24;2,23
abadesa;;1,64;1,4;1,36;1,69;1,33
acre		1,25	1,17	1	1,25	1,42
acrecentar		1,26	1,26	2,33	1,47	1,18
acreditación		1,1	1	1,85	1,45	1,3
acreditar		1,25	1,4	2,05	1,1	1,05
acreedor		1,67	1,35	1,33	1,72	1,13
acrílico		1,32	1,05	2,35	1,15	1,32
acritud		2,29	2	1,23	1,56	1,87
acrónimo		1,15	1	1,32	1,27	1,06
acta		1,25	1,84	2,05	1,45	1,7
actitud		1,1	1,3	3,5	1,3	1,32
activa		1	1,1	3,5	1,15	1,1
activación		1,15	1,2	3,05	1,15	1,05
activar		1,13	1,4	2,53	1,33	1,1
actividad		1,1	1,2	2,55	1,05	1,25
activismo		1,25	1,68	3	1,55	1,35
activista		1,6	1,55	2,65	1,55	1,7
acto		1,17	1,43	2,03	1,27	1,13
actor		1,4	1,15	3,5	1,05	1,15
actora		1,13	1,13	2,39	1,41	1,26
actriz		1,37	1,1	2,53	1,23	1,27
actuación		1,3	1,85	3,05	1,5	1,1
actual		1,7	1,2	2	1,3	1,1
actualidad		1,55	1,35	2,85	1,95	1,7
actualización		1,2	1,3	2,85	1,75	1,35
actualizar		1,2	1,4	2,8	1,45	1,2
actuar		1,43	2	3	1,6	1,37
acuarela		1,9	1,17	2,93	1,17	1,2
acuática		1,1	1,35	2,55	1,15	1,25
acuático		1,1	1,83	3,1	1,07	1,27
acuchillar		3,43	4	1,13	3,9	3,4
acudir		1,25	1,3	2,2	1,1	1,1
acueducto		1	1,05	2,5	1	1,1
acuerdo		1	1,47	3,3	1,1	1,1
acuicultura		1,43	1,5	2,06	1,24	1,15
acumulación		1,8	2,3	1,4	2,05	1,85
acumular		1,74	1,65	2,1	1,9	1,75
acuñado		1,28	1,17	1,41	1,29	1,33
acuñar		1,25	1,17	1,79	1,68	1,33
acurrucado		1,21	1,2	3,7	1,15	1,1
acurrucarse		1,83	1,6	3,9	1,07	1,07
acusación		3,25	2,65	1,2	2,7	2,25
acusador		2,84	2,85	1	3,7	3,1
acusar		3,13	3,13	1,19	3,52	2,55
acuse		2,35	2,58	1,4	3,05	2
acústica		1,3	1,25	2,5	1,15	1,25
adaptabilidad		1,25	1,2	2,75	1,35	1,15
adaptación		1,35	1,35	3,25	1,6	1,15
adaptar		1,45	1,45	2,35	1,35	1,35
adecuar		1,05	1,1	2,25	1,2	1,15
adelantar		1,1	1,95	2,8	1,9	1,3
adelante		1,1	1,15	2,55	1,05	1
adelanto		1,25	1,6	2,65	1,2	1,1
ademán		1,36	2	1,45	1,68	1,36
además		1,2	1,2	1,7	1,15	1,15
adentrar		1,25	2	2,06	1,33	1,35
adentro		1,35	1,6	1,7	1,3	1,2
adherencia		1,15	1,3	1,74	1,74	1,6
adherir		1,3	1,35	1,9	1,35	1,4
adhesión		1,21	1,2	1,75	1,5	1,4
adicción		3,23	3,57	1,1	2,5	2,9
adición		2	2,75	1,89	2,1	2,4
adicional		1,15	1,35	1,85	1,5	1,15
adicto		3,6	2,97	1,3	2,33	2,23
adiestramiento		2,15	1,35	2,45	1,65	1,85
adinerado		1,4	1,4	3	1,87	1,73
adiós		4,17	3,67	1,33	2,33	1,43
aditivo		2,4	2,05	1,85	1,84	2,35
adivina		1,25	1,25	3,1	1,3	1,3
adivinación		1,3	1,75	2,1	1,5	1,65
adivinar		1,05	1,5	2,45	1,55	1,1
adivino		1,45	1,6	1,95	2	1,4
adjetivo		1,3	1	1,4	1,55	1,1
adjudicación		1,35	2	2,05	1,8	1,4
adjudicar		1,5	1,65	2,2	1,3	1,5
adjunta		1,1	1,1	1,8	1,1	1,2
adjunto		1,05	1,1	1,85	1,35	1,15
administración		1,2	1,1	1,55	1,55	1,35
administrador		1,7	1,25	2,25	1,2	1,5
administrar		1,15	1,2	2,25	1,5	1,25
administrativa		1,4	1,25	1,5	1,3	1,75
admirable		1,05	1,15	4	1	1,3
admiración		1,37	1,43	3,67	1,3	1,2
admirado		1,3	1,57	3,77	1,23	1,27
admirador		1,1	1,6	3,65	1,1	1,35
admirar		1,23	1,4	3,93	1,2	1,17
admisible		1,5	1,3	2,75	1,3	1,2
admisión		1,3	1,45	3,85	1,2	1,2
admitir		1,55	1,75	2,9	1,3	1,15
adobe		1,21	1,47	1,72	1,31	2
adolecer		3,42	2,15	1,13	2,07	1,87
adolescencia		1,8	2,05	3,45	2,1	1,5
adolescente		1,97	1,7	2,83	1,83	1,4
adopción		1,77	1,77	3,53	1,17	1,03
adoptar		1,55	1,35	3,74	1	1,05
adoptivo		1,8	1,45	2,4	1,3	1,55
adorable		1,03	1,03	4,43	1,03	1,03
adoración		1,5	1,6	2,97	1,6	1,43
adorar		1,25	1,3	2,65	1,6	1,5
adornado		1,3	1,05	2,65	1,2	1,25
adornar		1,3	1	3,15	1	1
adorno		1,25	1,25	2,8	1,2	1
